Metric,IHRA 7B,IHRA 8B,JDA 7B,JDA 8B
Precision,0.23954372623574144,0.263268156424581,0.24605954465849386,0.2651497005988024
Specificity,0.648567914250571,0.44385872430152873,0.6974169741697417,0.46090318046037604
False Positive Rate,0.3514320857494289,0.5561412756984713,0.3025830258302583,0.539096819539624
F0.5 Score,0.2676295666949872,0.30677009873060646,0.2705565183901406,0.30835654596100276
F1 Score,0.3247422680412371,0.4078615218175261,0.3180531975099038,0.4081105990783411
Recall,0.504,0.9048,0.4496,0.8856
