,IHRA_Original,IHRA_with_Cutoff,JDA_Original,JDA_with_Cutoff
Accuracy,0.5270133986457283,0.5268024851900014,0.537386543725688,0.5377290434280767
Precision,0.26332945285215364,0.2628998365631567,0.2651497005988024,0.2652424387902064
Recall,0.9048,0.905144694533762,0.8856,0.8854166666666666
F1,0.4079350766456266,0.40745431518002534,0.4081105990783411,0.40820096047284815
Balanced_Accuracy,0.6744172201722017,0.6745205593507281,0.6732515902301881,0.6733963502258197
Matthews_CC,0.2759892405887022,0.27595279450302895,0.2719582242272864,0.27211900081490353
Specificity,0.4440344403444034,0.4438964241676942,0.46090318046037604,0.4613760337849727
G_Mean,0.6338472699504323,0.6338694607392731,0.6388864191823997,0.6391478936160064
